"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 16:19:43 CST 2023","Thu Sep 07 16:19:43 CST 2023","172","","test_个人中心","","","","修改密码错误提示",""
"passed","Thu Sep 07 16:20:27 CST 2023","Thu Sep 07 16:20:27 CST 2023","117","","test_门户","","","","资源大厅（法规标准）跳转成功",""
"passed","Thu Sep 07 16:20:07 CST 2023","Thu Sep 07 16:20:07 CST 2023","81","","test_运营侧","","","","banner管理页面无法再次新增同一个名称",""
"passed","Thu Sep 07 16:20:02 CST 2023","Thu Sep 07 16:20:04 CST 2023","1244","","test_个人中心","","","","我对接的需求，用户侧-待提交状态删除接口",""
"passed","Thu Sep 07 16:20:26 CST 2023","Thu Sep 07 16:20:26 CST 2023","112","","test_门户","","","","政策资讯（联盟动态）跳转",""
"passed","Thu Sep 07 16:20:25 CST 2023","Thu Sep 07 16:20:26 CST 2023","101","","test_门户","","","","专家资源首页",""
"passed","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:05 CST 2023","123","","test_运营侧","","","","参与事项企业附件信息查看",""
"passed","Thu Sep 07 16:20:05 CST 2023","Thu Sep 07 16:20:05 CST 2023","201","","test_运营侧","","","","参与事项详细信息查看",""
"passed","Thu Sep 07 16:20:30 CST 2023","Thu Sep 07 16:20:31 CST 2023","114","","test_门户","","","","安全培训跳转",""
"passed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","164","","test_个人中心","","","","我对接的需求，用户侧-供需管理全部参与列表详情接口",""
"passed","Thu Sep 07 16:20:06 CST 2023","Thu Sep 07 16:20:06 CST 2023","90","","test_运营侧","","","","联盟申请参与事项查看",""
"passed","Thu Sep 07 16:20:27 CST 2023","Thu Sep 07 16:20:28 CST 2023","154","","test_门户","","","","非个人企业申请联盟",""
"passed","Thu Sep 07 16:20:29 CST 2023","Thu Sep 07 16:20:30 CST 2023","198","","test_门户","","","","通知公告，内容查看跳转",""
"broken","Thu Sep 07 16:20:22 CST 2023","Thu Sep 07 16:20:23 CST 2023","91","","test_运营侧","","","","资源发布管理筛选和重置操作",""
"passed","Thu Sep 07 16:20:30 CST 2023","Thu Sep 07 16:20:30 CST 2023","109","","test_门户","","","","应急响应跳转",""
"passed","Thu Sep 07 16:20:29 CST 2023","Thu Sep 07 16:20:29 CST 2023","105","","test_门户","","","","政策法规跳转",""
"passed","Thu Sep 07 16:20:26 CST 2023","Thu Sep 07 16:20:26 CST 2023","196","","test_门户","","","","专家详情查看",""
"passed","Thu Sep 07 16:20:20 CST 2023","Thu Sep 07 16:20:20 CST 2023","83","","test_运营侧","","","","课程管理跳转",""
"passed","Thu Sep 07 16:20:30 CST 2023","Thu Sep 07 16:20:30 CST 2023","116","","test_门户","","","","安全合规跳转",""
"passed","Thu Sep 07 16:20:22 CST 2023","Thu Sep 07 16:20:22 CST 2023","157","","test_运营侧","","","","资源发布管理批量上架",""
"passed","Thu Sep 07 16:19:46 CST 2023","Thu Sep 07 16:19:46 CST 2023","153","","test_个人中心","","","","我对接的需求，全部列表",""
"passed","Thu Sep 07 16:20:23 CST 2023","Thu Sep 07 16:20:24 CST 2023","99","","test_门户","","","","联盟企业点击供需对接",""
"passed","Thu Sep 07 16:19:55 CST 2023","Thu Sep 07 16:19:55 CST 2023","120","","test_个人中心","","","","我对接的需求，待办列表页提交审核接口",""
"passed","Thu Sep 07 16:19:46 CST 2023","Thu Sep 07 16:19:46 CST 2023","109","","test_个人中心","","","","我对接的需求，全部列表筛选",""
"passed","Thu Sep 07 16:19:44 CST 2023","Thu Sep 07 16:19:44 CST 2023","116","","test_个人中心","","","","我发布的服务页面",""
"passed","Thu Sep 07 16:20:27 CST 2023","Thu Sep 07 16:20:27 CST 2023","234","","test_门户","","","","风险评估服务点击，可查看",""
"passed","Thu Sep 07 16:20:25 CST 2023","Thu Sep 07 16:20:25 CST 2023","96","","test_门户","","","","服务商服务详情",""
"passed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","105","","test_个人中心","","","","我发布的需求，用户侧-供需管理待办列表",""
"failed","Thu Sep 07 16:20:21 CST 2023","Thu Sep 07 16:20:22 CST 2023","121","","test_运营侧","","","","资源发布管理新增",""
"failed","Thu Sep 07 16:20:19 CST 2023","Thu Sep 07 16:20:20 CST 2023","187","","test_运营侧","","","","课程管理新增",""
"passed","Thu Sep 07 16:20:27 CST 2023","Thu Sep 07 16:20:27 CST 2023","116","","test_门户","","","","在线课程页面（人才培育）跳转正常",""
"failed","Thu Sep 07 16:20:07 CST 2023","Thu Sep 07 16:20:07 CST 2023","143","","test_运营侧","","","","banner管理页面下架",""
"failed","Thu Sep 07 16:20:06 CST 2023","Thu Sep 07 16:20:06 CST 2023","358","","test_运营侧","","","","运营侧拒绝联盟申请",""
"passed","Thu Sep 07 16:20:27 CST 2023","Thu Sep 07 16:20:27 CST 2023","107","","test_门户","","","","服务申请成功”",""
"passed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","99","","test_个人中心","","","","我发布的需求，用户侧-供需管理全部参与列表",""
"passed","Thu Sep 07 16:20:06 CST 2023","Thu Sep 07 16:20:07 CST 2023","179","","test_运营侧","","","","banner管理页面新增添加图片",""
"passed","Thu Sep 07 16:19:44 CST 2023","Thu Sep 07 16:19:44 CST 2023","337","","test_个人中心","","","","我发布的需求查看待对接",""
"passed","Thu Sep 07 16:20:23 CST 2023","Thu Sep 07 16:20:23 CST 2023","146","","test_门户","","","","供需查看（已完成筛选）",""
"passed","Thu Sep 07 16:20:30 CST 2023","Thu Sep 07 16:20:30 CST 2023","108","","test_门户","","","","安全产品跳转",""
"passed","Thu Sep 07 16:20:06 CST 2023","Thu Sep 07 16:20:06 CST 2023","90","","test_运营侧","","","","联盟申请筛选",""
"passed","Thu Sep 07 16:19:47 CST 2023","Thu Sep 07 16:19:55 CST 2023","7703","","test_个人中心","","","","我对接的需求，发布需求页面文件下载",""
"passed","Thu Sep 07 16:20:26 CST 2023","Thu Sep 07 16:20:27 CST 2023","475","","test_门户","","","","全部服务点击进入",""
"failed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","80","","test_运营侧","","","","我的代办可以收到用户的申请信息”",""
"passed","Thu Sep 07 16:20:22 CST 2023","Thu Sep 07 16:20:22 CST 2023","163","","test_运营侧","","","","资源发布管理上架",""
"passed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","183","","test_个人中心","","","","我发布的服务查服务",""
"passed","Thu Sep 07 16:20:24 CST 2023","Thu Sep 07 16:20:24 CST 2023","182","","test_门户","","","","联盟企业点击推荐服务商",""
"broken","Thu Sep 07 16:20:20 CST 2023","Thu Sep 07 16:20:20 CST 2023","69","","test_运营侧","","","","检查未上架状态并全部课程删除",""
"broken","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","136","","test_运营侧","","","","我的代办进行综合条件筛选",""
"passed","Thu Sep 07 16:19:42 CST 2023","Thu Sep 07 16:19:43 CST 2023","74","","test_个人中心","","","","查看基本信息",""
"passed","Thu Sep 07 16:20:23 CST 2023","Thu Sep 07 16:20:23 CST 2023","107","","test_门户","","","","已完成筛选的需求详情查看",""
"passed","Thu Sep 07 16:20:24 CST 2023","Thu Sep 07 16:20:24 CST 2023","120","","test_门户","","","","供需对接搜索框搜索“陆保金”",""
"passed","Thu Sep 07 16:20:26 CST 2023","Thu Sep 07 16:20:26 CST 2023","97","","test_门户","","","","首页跳转",""
"passed","Thu Sep 07 16:19:42 CST 2023","Thu Sep 07 16:19:42 CST 2023","129","","test_个人中心","","","","开通咨询跳转至提示",""
"passed","Thu Sep 07 16:19:43 CST 2023","Thu Sep 07 16:19:43 CST 2023","80","","test_个人中心","","","","实名认证不为空",""
"broken","Thu Sep 07 16:20:06 CST 2023","Thu Sep 07 16:20:06 CST 2023","1","","test_运营侧","","","","联盟申请参与事项今日筛选",""
"passed","Thu Sep 07 16:20:04 CST 2023","Thu Sep 07 16:20:04 CST 2023","101","","test_个人中心","","","","我发布的需求，用户侧-供需管理待办列表接口",""
"passed","Thu Sep 07 16:20:23 CST 2023","Thu Sep 07 16:20:23 CST 2023","147","","test_门户","","","","供需查看（待对接筛选）",""
"failed","Thu Sep 07 16:20:20 CST 2023","Thu Sep 07 16:20:20 CST 2023","103","","test_运营侧","","","","课程管理重复新增报错",""
